gene_name,789,66,151,405,115,1754,492,709,637,794,276,250,12,R29425B,R34914A,Rou7776B,Rou6223B,R9288,14501,21868
RNF223,10,0,0,4,6,2,6,0,4,4,4,2,6,2,0,8,6,4,7,2
C1orf159,795,282,441,534,516,605,619,270,357,487,450,490,554,506,724,459,705,606,442,443
RP11-465B22.9,10,5,3,4,2,9,8,0,0,0,0,2,5,1,18,16,7,17,3,3
LINC01342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
MIR200B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0
MIR429,2,0,0,0,0,0,2,0,0,2,6,0,0,0,0,2,0,0,0,0
RP11-465B22.8,8,0,0,0,0,0,4,0,0,4,2,0,0,2,0,6,0,4,4,10
TTLL10-AS1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,0
TTLL10,8,0,0,0,2,0,7,0,0,0,0,0,0,0,0,2,4,8,0,0
TNFRSF18,423,834,75,294,769,87,372,304,224,164,316,140,583,1563,2208,1219,1226,343,199,336
TNFRSF4,203,405,344,282,253,192,91,123,414,98,156,7,540,910,477,444,265,199,97,328
SDF4,5300,3888,3900,3357,3696,4710,5058,3898,3278,3635,3917,3842,5059,3779,5140,3552,5488,5184,2917,3998
B3GALT6,591,387,760,338,272,891,663,409,385,616,642,830,716,479,395,372,795,467,326,826
C1QTNF12,62,11,6,38,78,26,26,39,82,24,16,12,85,62,194,67,83,78,48,10
RP5-902P8.12,20,0,6,10,23,6,2,0,14,4,4,3,18,0,3,10,27,8,11,6
UBE2J2,2667,1738,1915,1737,1727,2340,2500,1358,1584,1670,1556,2023,1846,1455,2305,1321,3129,2329,1504,1691
LINC01786,21,12,2,18,7,22,2,17,19,11,11,2,21,5,14,18,5,3,9,11
SCNN1D,159,16,16,68,89,60,30,50,101,34,39,23,161,107,182,64,81,95,95,45
ACAP3,1233,341,859,1187,990,2429,930,953,1161,1079,776,871,1074,1034,1402,1003,1340,1678,1034,1249
MIR6726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUSL1,346,225,236,214,239,305,343,294,199,244,298,275,309,199,521,280,480,395,286,241
INTS11,5011,2357,2624,3101,3188,4524,3742,2736,2096,3087,2989,2585,3989,2875,4669,2978,4464,4677,2618,2541
MIR6727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-890O3.9,84,22,61,60,128,112,79,75,73,54,38,40,119,55,105,78,80,181,87,65
CPTP,987,710,691,489,576,747,745,464,592,580,550,624,565,486,712,473,1370,792,432,479
TAS1R3,47,10,33,32,50,30,13,24,32,20,18,8,30,31,50,20,84,81,41,14
DVL1,2261,741,811,1337,1570,1551,1106,1460,1199,1040,1482,820,1801,1352,2444,1303,1837,1942,1067,880
MIR6808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MXRA8,108,85,68,71,68,110,66,55,110,57,53,35,51,37,195,85,311,143,82,45
AURKAIP1,3652,2722,2953,1891,2312,3270,3577,2025,2087,2375,2668,2868,3128,2505,3414,2293,3865,2685,1865,2290
NDUFB4P8,20,2,4,0,2,4,2,0,0,0,0,2,7,4,4,2,14,4,5,2
CCNL2,6520,2855,4100,4047,5161,7405,5060,3820,4520,4621,3661,3947,6908,4755,6842,5881,5513,7298,3936,3923
MRPL20-AS1,1089,462,727,634,665,776,879,434,567,746,524,640,834,488,731,575,1194,956,559,516
MRPL20,2781,1624,2580,1364,1458,2521,2735,1149,1485,1709,1509,2564,2102,1538,1966,1611,2950,2288,1319,1635
RN7SL657P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRPL20-DT,283,245,99,325,247,253,311,129,280,150,136,161,175,162,340,221,630,470,251,255
ANKRD65,14,36,10,6,8,2,36,2,6,1,10,14,24,7,54,0,153,14,22,64
RP4-758J18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
TMEM88B,5,0,5,2,0,2,6,45,5,7,2,9,12,2,78,0,47,60,23,0
LINC01770,0,10,8,4,4,7,4,0,13,5,8,0,5,24,12,12,34,4,7,4
VWA1,70,147,344,156,262,243,255,478,261,235,367,128,301,364,710,158,864,326,96,316
ATAD3C,53,2,22,56,131,61,30,172,2,73,85,34,8,49,51,0,373,135,90,0
ATAD3B,2007,863,1777,1136,1023,1388,2463,958,905,1362,1378,2430,1908,1126,1547,1183,2945,1979,1093,1676
RP5-832C2.8,27,32,2,9,22,1,4,12,6,10,16,4,3,8,14,20,17,14,8,2
ATAD3A,2238,1225,1952,1020,940,1523,2567,768,730,1314,1189,2109,1891,1126,1683,1208,3219,2005,1369,1811
TMEM240,6,16,0,0,0,6,1,0,2,2,8,0,0,0,8,8,4,3,2,0
SSU72,5211,3114,3774,2904,3038,3393,4265,2568,2794,3265,2926,3513,4072,2837,4632,3092,5472,4362,3045,3053
RP5-832C2.5,52,34,10,37,38,24,47,44,50,32,9,43,49,34,75,30,108,113,62,18
RP11-345P4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FNDC10,92,0,5,38,4,16,38,32,10,41,24,36,0,16,57,16,103,60,6,4
RP11-345P4.12,4,0,0,15,5,8,5,14,17,16,0,7,3,0,4,4,16,29,2,6
RP11-345P4.9,192,106,97,129,170,124,98,178,175,93,104,69,181,104,198,116,222,191,194,89
MIB2,1965,804,638,1217,1426,1366,902,1084,1416,999,859,536,1863,1156,2051,1105,1871,1778,1095,609
MMP23B,1,0,0,0,0,2,4,0,0,0,1,0,0,1,0,1,5,4,3,0
CDK11B,2077,747,1506,1100,1710,1667,1654,830,1183,1132,1215,1458,1920,1184,1466,1221,1941,1766,1137,1259
RP11-345P4.10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0
SLC35E2B,3448,1582,1770,2482,5552,2441,2705,1630,3252,1342,1479,1445,2819,996,3767,2092,6406,4677,3475,1883
RP11-345P4.6,135,12,53,92,257,166,57,87,41,69,55,55,94,58,83,96,216,312,109,110
MMP23A,0,5,0,3,10,14,2,0,5,4,5,4,15,0,2,1,5,6,1,1
CDK11A,67,21,36,76,73,95,34,46,53,53,40,62,51,50,84,64,23,105,34,49
RP1-283E3.8,185,42,28,71,113,105,69,37,89,72,72,47,106,52,56,59,65,206,92,66
RP1-283E3.4,534,82,314,335,438,820,153,235,243,528,239,209,187,431,165,294,159,771,194,315
SLC35E2A,234,118,60,173,135,112,155,135,154,83,79,110,205,91,216,141,147,312,135,133
NADK,4613,3679,3890,2946,3511,4228,3686,2225,2908,3250,2778,2580,3900,3181,3882,2665,4738,3969,2407,2676
GNB1,22542,13590,15617,14049,19252,24169,17736,12186,12756,15988,14411,12813,17527,14484,20526,13769,23182,22949,13310,14818
RP1-140A9.1,10,6,6,1,0,4,7,8,8,0,2,0,8,6,10,12,26,2,12,0
CALML6,2,13,13,0,2,4,3,4,4,6,6,10,10,12,25,6,26,10,16,4
TMEM52,6,0,8,2,0,4,2,0,4,8,0,0,0,1,0,6,2,2,4,2
CFAP74,6,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,2,0,0
RP11-547D24.1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0
GABRD,0,0,0,4,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0
RP11-547D24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
PRKCZ,14,4,51,25,64,89,150,156,17,160,225,68,81,135,46,17,372,6,67,93
RP5-892K4.1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,4,0,0,0
PRKCZ-AS1,3,8,6,7,0,13,19,11,0,22,25,2,15,18,12,4,37,0,13,18
FAAP20,1911,1212,1076,940,997,1398,1192,732,990,1038,1100,904,1358,896,1582,756,1779,1305,1014,1024
RP11-181G12.4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SKI,1194,421,712,824,974,833,714,746,512,591,604,629,606,671,843,694,1299,2029,897,741
RP11-181G12.8,83,15,10,22,26,4,16,7,27,15,6,10,21,16,63,33,39,32,81,8
MORN1,288,133,96,161,107,145,151,178,134,179,188,71,198,91,162,115,223,472,90,95
RP4-713A8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,6,0
RP4-740C4.5,75,71,4,13,15,6,6,34,31,32,46,12,38,37,50,14,22,81,8,4
RP4-740C4.7,22,10,2,6,13,10,7,31,9,18,2,0,25,14,0,8,7,39,2,4
RER1,4141,2889,3300,2597,2653,4408,4424,2270,2469,3153,2357,3214,3368,2694,3841,2813,4650,4589,2732,3181
PEX10,840,475,356,381,375,487,500,343,420,425,371,413,554,378,565,362,811,789,422,401
PLCH2,115,11,23,107,139,428,29,142,249,174,34,23,113,119,19,226,67,87,33,14
RP3-395M20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RP3-395M20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PANK4,1206,709,718,800,1136,1036,905,721,860,628,856,682,868,827,1414,788,875,1120,586,662
HES5,34,0,11,0,2,8,3,0,10,0,13,0,16,34,15,0,2,2,0,0
RP3-395M20.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF14-AS1,91,40,26,49,19,45,50,25,78,45,35,29,74,27,56,33,31,27,45,33
TNFRSF14,6050,2811,1282,3457,3524,5367,2368,2845,4244,2506,3677,1863,4733,4583,7138,3875,3873,5002,2056,1405
RP3-395M20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP3-395M20.9,117,72,25,70,124,109,69,66,155,39,91,39,125,96,94,98,91,95,44,31
PRXL2B,568,120,170,174,230,486,128,184,297,156,227,128,403,263,363,415,218,350,120,184
MMEL1,3,0,0,2,11,0,0,4,0,0,7,0,4,3,2,0,0,1,1,0
MMEL1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTC34,0,0,0,0,0,0,0,4,11,0,0,1,2,0,4,8,12,4,0,0
ABC14-1188822O7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABC14-1188822O7.1,2,0,0,2,2,7,0,0,0,0,1,0,1,4,0,4,0,2,0,0
RP11-740P5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-740P5.4,7,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0,0,6,0,0
RP11-740P5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
RP5-907A6.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
PRDM16-DT,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0
PRDM16,9,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0
MIR4251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1-163G9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-193J6.1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-22L13.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4-785P20.3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,2,0
RP4-785P20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGEF16,10,0,0,1,0,0,0,0,0,0,2,0,14,0,0,2,0,2,2,0
RP11-168F9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
MEGF6,137,10,5,189,92,412,38,22,212,39,95,2,256,105,602,48,359,73,54,31
MIR551A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-46F15.2,19,4,4,14,3,14,9,0,12,4,11,14,10,3,18,0,9,24,6,3
TPRG1L,2430,1662,1706,887,1384,2016,1775,1145,1488,1278,1260,1136,1731,1329,2173,1332,2442,1708,827,1112
WRAP73,1248,1332,1470,1112,1854,2124,1998,964,1214,1514,1104,1801,1962,1132,2104,947,1871,1392,1344,1370
TP73,845,1557,461,555,2965,1381,1951,990,582,1809,932,1712,1461,615,1770,723,1527,1528,1560,1211
TP73-AS3,4,22,24,6,26,18,17,28,8,53,11,25,6,4,5,4,24,42,26,13
TP73-AS2,0,0,8,3,0,4,9,0,0,8,6,31,6,7,8,0,7,2,4,9
TP73-AS1,854,853,708,665,980,973,956,865,1210,737,680,464,1406,875,1570,1210,1345,1813,1085,807
ENSG10010138423.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC27,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
SMIM1,22,30,4,13,12,7,6,16,17,29,20,0,13,16,26,20,38,26,4,20
LRRC47,2618,1598,1611,1327,1668,2025,1966,1325,1502,1638,1633,1739,2027,1341,2267,1681,3269,2195,1410,1768
RN7SL574P,12,0,2,4,7,0,0,0,3,6,0,3,0,2,4,0,16,12,5,2
RP1-286D6.5,50,11,14,15,61,38,42,12,12,25,19,18,53,8,45,11,60,78,45,32
CEP104,1987,988,1478,1240,1648,2073,1278,1113,1170,1212,995,1175,1533,1158,1688,1586,2079,1828,1512,1295
DFFB,442,186,434,285,517,384,364,263,277,329,304,367,538,386,339,335,554,470,312,273
C1orf174,1986,875,1015,1232,1592,1871,1170,1180,1373,1077,1244,890,1603,1139,2487,1249,1875,1721,1130,963
LINC01134,19,44,15,25,20,22,27,4,29,10,29,12,9,10,14,21,78,39,13,9
LINC01346,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
RP11-718D19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EEF1DP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-1166F10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1-37J18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJAP1,17,14,0,30,0,24,5,0,13,4,10,6,24,6,8,6,0,0,0,0
RP1-77N19.1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
RP4-603B14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02782,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
RP4-703E10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
RP1-58B11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1-58B11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1-58B11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
RP3-491M17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-154H17.1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0
ENSG00000264341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPHP4,434,227,372,498,558,657,595,400,302,477,325,524,427,286,434,388,502,632,369,494
KCNAB2,12723,4686,6041,9788,12472,17218,7869,7623,7779,7591,8072,6643,10373,7549,12353,8896,11152,14571,8295,7934
CHD5,6,2,1,8,15,10,8,12,18,19,8,0,16,79,48,24,62,56,27,36
RP1-120G22.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL22,7033,2693,2898,4586,4639,5621,4285,3535,4168,3664,2990,3437,4922,3110,6690,2747,7554,6950,4340,2466
RNF207-AS1,4,8,6,3,4,13,12,6,4,6,8,2,5,7,15,12,3,8,12,3
RNF207,632,364,327,397,317,1072,415,677,713,332,557,379,1023,588,747,700,357,1217,357,678
ICMT,2566,1592,2345,1413,957,2080,3193,932,858,1424,1389,2446,1727,1294,1483,1340,3580,2254,1329,2158
LINC00337,14,18,10,2,7,10,28,24,4,10,12,7,8,20,14,10,46,11,28,24
HES3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GPR153,881,479,104,665,533,590,195,871,555,139,1011,85,1741,1734,2545,1529,1360,1067,120,143
ACOT7,2425,1930,2706,1224,1565,2391,3009,1077,1162,1456,1782,2192,2064,1632,2175,1692,3029,2129,1932,1796
RP1-202O8.3,0,4,0,0,4,4,12,0,0,0,0,0,0,9,0,0,4,0,6,4
HES2,45,348,131,16,75,35,108,4,83,76,23,74,62,46,233,134,356,92,49,101
ESPN,27,42,17,16,36,24,15,0,27,39,19,24,35,9,39,18,11,8,17,54
MIR4252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1-202O8.2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
TNFRSF25,17,51,6,17,31,27,6,1,38,6,10,13,30,25,82,4,95,4,4,2
PLEKHG5,92,66,111,42,77,116,92,54,64,51,76,73,229,99,135,56,115,43,32,148
NOL9,1567,567,1027,789,900,1247,1138,618,696,900,768,972,1367,785,1021,833,1642,1513,913,883
RNU6-731P,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RP11-58A11.2,15,0,2,10,3,12,8,7,0,0,4,1,2,0,6,0,6,19,9,15
TAS1R1,10,0,0,8,6,0,8,0,5,4,3,0,4,0,11,2,53,16,17,4
ZBTB48,1371,547,667,617,782,984,774,452,715,648,756,574,913,647,888,658,1075,1088,597,652
KLHL21,2319,847,839,1133,2450,1597,1185,1324,1408,582,1970,952,1990,1620,3462,1910,1975,2052,924,981
PHF13,1815,1129,855,967,1792,1614,967,1028,1273,1003,1203,735,1330,879,1942,1026,1772,2024,1088,811
THAP3,1044,601,459,509,1042,1097,655,807,785,583,998,336,931,681,1268,766,858,1047,579,416
DNAJC11,1969,1184,1965,1140,906,1436,2014,829,880,1076,1089,1877,1732,993,1170,1206,2436,1760,1265,1366
LINC01672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-242F24.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMTA1-DT,9,13,8,13,26,14,14,5,26,9,20,10,26,2,19,10,42,35,8,7
CAMTA1,1304,632,728,783,932,1310,854,733,801,835,721,760,1097,971,1021,768,1213,1149,703,687
RP11-312B8.2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-334N17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMTA1-IT1,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,4,0,0,0
CAMTA1-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMTA1-AS1,0,0,0,2,0,0,2,0,2,0,0,8,2,0,0,0,1,0,0,0
RP11-338N10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
RP11-338N10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
RP11-338N10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
VAMP3,897,642,796,611,1027,969,666,547,749,689,656,683,799,744,1094,863,1107,1016,438,606
